Seq,DateListed,年度,類別,項目別,總計,農林漁牧業,工業_礦業及土石採取業,工業_製造業,工業_電力及燃氣供應業,工業_用水供應及污染整治業,工業_營建工程業,服務業_批發及零售業,服務業_運輸及倉儲業,服務業_住宿及餐飲業,服務業_出版影音製作傳播及通資訊服務業,服務業_金融及保險業,服務業_不動產業,服務業_專業_科學及技術服務業,服務業_支援服務業,服務業_公共行政及國防_強制性社會安全,服務業_教育業,服務業_醫療保健及社會工作服務業,服務業_藝術_娛樂及休閒服務業,服務業_其他服務業,樣本數_人,母體數_人
107,20230401,108,年齡,45 ~ 49歲,100,9.47908565245325,0.556250634024279,14.5174652554695,0.542724782741014,1.27481148344774,16.9817062861394,7.15010313461604,7.04358705576032,8.65316335846887,0.704189632434991,1.05670713150509,0.269671659960099,0.825076928279174,2.68319074831772,7.57278598721807,5.49741318094208,6.68768809386941,1.3280695228756,7.17630947147736,3218.31207756378,29573
108,20230401,108,年齡,50 ~ 54歲,100,12.2096032067145,0.744281453183662,13.861889214035,0.200419658063363,0.864721435494039,19.4519980804878,6.05022723637287,6.47835373599179,8.56535280446381,0.444122434769517,0.908004554136831,0.172191537209368,0.493992114944908,4.00839316126725,6.14620284727646,4.2840878082746,6.90930304769612,1.77084411490727,6.4360115547108,2893.45045695342,26569.25
109,20230401,108,年齡,55 ~ 64歲,100,20.2597721620045,0.512021371326803,11.4540792827095,0.401480025792981,2.07418552522492,19.0200202659133,5.70823225964934,5.18623146129518,8.19925077532472,0.157367887739122,0.627168606257868,0.0276353363834556,0.604906807504529,4.26582123007953,3.69852918598581,3.86817944545092,5.97153560352504,2.44265667700433,5.52092609082814,3546.57818491783,32567
110,20230401,108,年齡,55 ~ 59歲,100,15.4057084359081,0.342457406098423,12.327247909913,0.398518049089624,1.8829063787262,21.6138152923684,5.84980622516879,5.66090623248105,9.31825383284179,0.164525800082872,0.639822555877837,0.0438735466887659,0.435079337996929,3.97664952348453,3.81821727155288,4.28742047919663,5.85711848295025,2.55929022351135,5.41838301606259,2234.36119679673,20513.5
111,20230401,108,年齡,60 ~ 64歲,100,28.5207616045132,0.800597336873107,9.96805906997967,0.406520927531422,2.39971792425437,14.6057161820218,5.46729165802464,4.37839631642262,6.29485211764218,0.145186045546937,0.605633218567221,0,0.893931223296138,4.75795412120961,3.49483552495126,3.15468536109844,6.16625876301489,2.24416144688265,5.69544115816983,1312.21698812113,12053.5
112,20230401,108,年齡,65歲及以上,100,43.6760404949381,0,5.58830146231721,0,1.71878515185602,8.92238470191226,6.7941507311586,2.86614173228346,5.29583802024747,0.265466816647919,0,0,0,4.75590551181102,2.16872890888639,4.47244094488189,3.67154105736783,3.03712035995501,6.76715410573678,605.697342748448,5556.25
113,20230401,108,教育程度,小學及以下,100,30.6284431215895,0.519568679668938,12.0440719563458,0.229759014124958,1.35505600375969,21.5346857784392,5.19438134774549,3.40461084566983,7.33531761572805,0,0.0574397535312394,0,0.0404689172606459,4.10563692853972,0.88248348607086,1.33416882065742,3.55865382104906,1.81849037884128,5.9567635309783,2092.76030041624,19150.5
114,20230401,108,教育程度,國(初)中,100,15.5699317764094,0.599163040882234,14.9406548218606,0.208201368625456,1.43664136405645,26.3569433339218,7.60791684406185,7.30781611821269,9.45213445343247,0.138108638539579,0.107475519465011,0.0467284867239177,0.218066271378283,3.08615694541074,1.02283465384575,0.972471729265532,3.56226830458666,0.988047891506838,6.37843843781477,5239.9004913375,48150.5
115,20230401,108,教育程度,高級中等(高中、高職),100,7.85939845270598,0.465658000810615,18.8474574761381,0.499507841137355,1.4417359623376,15.6479794763073,10.8357347419618,7.67567399040624,12.0650184169855,0.607515555337808,0.708842380000089,0.253428409814672,0.843573652353232,3.53753101046227,2.82557088201104,1.73035039038665,4.73452371938482,1.97487094748375,7.44562869397517,12218.6175160166,112260.5
116,20230401,108,教育程度,專科,100,3.55302065193254,0.106356868199296,11.0015076962635,0.314395577424294,0.96539311134746,4.71359614777761,8.68269421816014,3.7996283353397,8.96085833498907,0.833323593693388,2.06636201072919,0.638141209195778,1.80105421862765,3.06681782587861,12.8095744556515,4.108180128797,25.2883907387712,2.59814635172567,4.69255852549643,2325.8369828459,21390.25
