Seq,DateListed,年度,類別,項目別,總計,未滿1年,年資1年_未滿3年,年資3年_未滿5年,年資5年_未滿7年,年資7年_未滿9年,年資9年_未滿12年,年資12年_未滿15年,年資15年及以上,平均年資_年,樣本數_人,母體數_人
25,"20230401","103","個人每月收入","1萬元 ~ 未滿2萬元","100","27.5631143664586","20.5819741178251","9.07836586593827","7.40627442094102","3.15475134625662","8.04508647948845","3.03105470228789","21.1393787008041","8.23711553477377","4887.34693105412","38104.6028014754"
26,"20230401","103","個人每月收入","2萬元 ~ 未滿3萬元","99.9999999999998","19.4770558201449","24.5605423891336","14.987196041187","11.6529321248177","5.21433605074735","8.53469956544968","3.18359246230543","12.3896455462141","5.93448039454253","11505.5357537143","89701.5070236694"
27,"20230401","103","個人每月收入","3萬元 ~ 未滿4萬元","99.9999999999998","14.1474537859956","17.8015555398294","13.753637308676","13.0042368813353","7.11419492214232","12.1272436422975","3.98259914233977","18.0690787773838","7.64485583596726","7612.28354147834","59339.7067611918"
28,"20230401","103","個人每月收入","4萬元 ~ 未滿5萬元","99.9999999999997","11.7920826273527","13.5354744415672","11.2189342216754","11.5922299417865","6.81432392468168","12.487954575466","6.176299880451","26.3827003870193","9.52879552837548","2894.24479627222","22563.6245594908"
29,"20230401","103","個人每月收入","5萬元 ~ 未滿6萬元","100","7.08422087630793","8.58873408679592","10.8692950447044","10.5487224041543","7.86230242206813","11.6639230596374","6.20041809984086","37.1823840064911","11.8306026925266","1093.30723334261","8523.99701839006"
30,"20230401","103","個人每月收入","6萬元 ~ 未滿7萬元","100","6.32311283134795","8.88645095809956","6.10281627598579","7.09035763258372","6.16349586637207","10.1450623330741","3.38231488871472","51.9063892138221","14.5424059061221","429.363147700442","3346.69511598208"
31,"20230401","103","個人每月收入","7萬元及以上","99.9999999999999","3.61571793445264","10.0265328643113","9.67481836810061","12.1979089087288","8.89790161804843","10.0108619121406","3.88091736866313","41.6953410255544","13.2225247199777","288.503187176864","2247.77929376582"
32,"20230401","104","總計","-","100","20.0177048930591","19.5867819933246","12.5819190459702","11.3893730644776","4.87933253727421","10.2445965364047","3.22623694026127","18.0740549892286","7.25150646441105","30945.3724111569","237395.248278043"
33,"20230401","104","性別","男","99.9999999999994","21.7781903664912","17.4518775040176","11.1904461795495","10.3962852470978","4.71171888211942","10.2301522744095","3.20626748859137","21.0350620577229","7.84627309742555","17035.1238284832","130679.532583005"
34,"20230401","104","性別","女","100.000000000001","17.8618891606815","22.2010953487187","14.2858576139823","12.6054662232391","5.08458509981849","10.2622843661095","3.25069068255372","14.4481315048978","6.52318050893105","13910.2485826735","106715.715695039"
35,"20230401","104","年齡","15 ~ 19歲","100","56.2326610156743","39.4804892777695","4.06517295021135","0.221676756344945","0","0","0","0","0.864683476610664","947.468677960354","7272.77431080375"
36,"20230401","104","年齡","20 ~ 24歲","100.000000000001","35.3411533386325","45.8500256051933","14.7056558421344","3.63208057588945","0.294816343264947","0.176268294886053","0","0","1.57430710249217","3055.50428449792","23443.4782814656"
37,"20230401","104","年齡","25 ~ 29歲","100","21.9729357289461","32.1246551142543","24.6363635039316","13.8434543248703","4.40087245776266","2.65018255572817","0.225856138716358","0.145680175790588","2.83572559318105","4025.1758929337","30874.2320999868"
38,"20230401","104","年齡","30 ~ 34歲","100","17.9567877039995","18.8340788221056","17.2726123166154","18.4292622471899","8.33982314818076","12.8095692362762","3.83719097996786","2.52067554566502","4.78120144832521","4435.27570876347","34024.0086891948"
39,"20230401","104","年齡","35 ~ 39歲","100.000000000001","16.2425174497584","15.5436927830758","12.8049793773723","15.7359537668744","7.185706038286","15.6618083695858","5.95860532234415","10.8667368927037","6.29751093493492","4179.90984522367","32063.4336639422"
40,"20230401","104","年齡","40 ~ 44歲","100","15.035103686083","13.0280256996637","10.0778666445764","12.490760764215","4.77251019108441","14.9243156287221","4.95598259409663","24.7154347915587","8.36188900172396","3767.19481547802","28900.2012864856"
41,"20230401","104","年齡","45 ~ 49歲","99.9999999999999","15.2545580842596","10.8267232015767","7.44012138179348","10.6117724812814","5.46244629232165","14.0049240673538","3.75875255662647","32.6407019347869","10.1652976216699","3695.80598625986","28352.1525146094"
42,"20230401","104","年齡","50 ~ 54歲","99.9999999999997","16.7128565879209","9.24603132985806","6.30161771190443","7.64444789075304","5.05352834225085","12.5740006984203","3.96883249076491","38.4986849481272","11.739845451626","3229.48271966525","24773.8540948954"
43,"20230401","104","年齡","55 ~ 59歲","100","16.7555931610073","9.03792142223593","6.85788354246882","8.1974395177988","3.21338116374125","10.4397169633013","3.7697885355774","41.7282756938695","12.9310191727516","2206.34874251672","16928.0142939783"
44,"20230401","104","年齡","60 ~ 64歲","100","13.0220623457521","9.04400091211328","7.96092323908647","6.38569657097268","2.9165273804945","8.99589462112965","2.92558425152491","48.7493106789265","15.9890636622663","1034.29415051908","7933.66113163906"
45,"20230401","104","年齡","65歲及以上","100","12.8860255798105","6.88960844967295","5.69945615133229","6.13806504719693","2.07241344700614","7.09455796175229","0.764707799127454","58.4551655641015","21.0901002064646","368.911587338637","2829.4379110431"
46,"20230401","104","教育程度","小學及以下","100","17.9143914746081","10.1544069554244","7.3222895174488","7.46928079080149","3.12402453545883","11.229678651624","3.2757777369591","39.5101503376753","12.8949705910432","3721.23646056284","28553.0521610227"
47,"20230401","104","教育程度","國(初)中","100","21.6207490393812","15.8114972714549","10.6808825213471","11.0438843547982","5.25528858161927","11.6571325354951","3.62601428588179","20.3045514100224","7.66705804165912","7374.04985860354","56558.6104041407"
48,"20230401","104","教育程度","高級中等(高中、高職)","100","20.1741294603802","21.1251492216945","13.8192445426186","12.8153722275505","5.07589489090949","10.2039134166681","3.14446763962424","13.6418286005543","6.18235537272848","12913.1120802994","99061.3899145957"
49,"20230401","104","教育程度","專科","100","14.0870535558494","17.5539118464139","13.6939399953334","11.4963198987363","5.63245303189186","11.9787473172818","4.22896368080573","21.3286106736876","8.10309828386841","2166.06838242641","16615.8388306548"
